# HD23 astrodust PAH, cation: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 169
# lambda stride: every 1 of 1762
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  1.000000E-004  3.162000E-004  1.246561E-007
  1.000000E-004  3.350000E-004  1.320676E-007
  1.000000E-004  3.548000E-004  1.398734E-007
  1.000000E-004  3.758000E-004  1.481522E-007
  1.000000E-004  3.981000E-004  1.569435E-007
  1.000000E-004  4.217000E-004  1.662473E-007
  1.000000E-004  4.467000E-004  1.761031E-007
  1.000000E-004  4.731000E-004  1.865107E-007
  1.000000E-004  5.012000E-004  1.975886E-007
  1.000000E-004  5.309000E-004  2.092972E-007
  1.000000E-004  5.623000E-004  2.216760E-007
  1.000000E-004  5.957000E-004  2.348433E-007
  1.000000E-004  6.310000E-004  2.487596E-007
  1.000000E-004  6.683000E-004  2.634643E-007
  1.000000E-004  7.079000E-004  2.790758E-007
  1.000000E-004  7.499000E-004  2.956335E-007
  1.000000E-004  7.943000E-004  3.131373E-007
  1.000000E-004  8.414000E-004  3.317055E-007
  1.000000E-004  8.912000E-004  3.513381E-007
  1.000000E-004  9.441000E-004  3.721928E-007
  1.000000E-004  1.000000E-003  3.942303E-007
  1.000000E-004  1.059000E-003  4.174898E-007
  1.000000E-004  1.122000E-003  4.423263E-007
  1.000000E-004  1.188000E-003  4.683454E-007
  1.000000E-004  1.259000E-003  4.963357E-007
  1.000000E-004  1.334000E-003  5.259029E-007
  1.000000E-004  1.413000E-003  5.570470E-007
  1.000000E-004  1.496000E-003  5.897681E-007
  1.000000E-004  1.585000E-003  6.248545E-007
  1.000000E-004  1.679000E-003  6.619121E-007
  1.000000E-004  1.778000E-003  7.009408E-007
  1.000000E-004  1.884000E-003  7.427291E-007
  1.000000E-004  1.995000E-003  7.864885E-007
  1.000000E-004  2.113000E-003  8.330076E-007
  1.000000E-004  2.239000E-003  8.826805E-007
  1.000000E-004  2.371000E-003  9.347187E-007
  1.000000E-004  2.512000E-003  9.903051E-007
  1.000000E-004  2.661000E-003  1.049045E-006
  1.000000E-004  2.818000E-003  1.110939E-006
  1.000000E-004  2.985000E-003  1.176775E-006
  1.000000E-004  3.162000E-003  1.246554E-006
  1.000000E-004  3.350000E-003  1.320669E-006
  1.000000E-004  3.548000E-003  1.398726E-006
  1.000000E-004  3.758000E-003  1.481515E-006
  1.000000E-004  3.981000E-003  1.569428E-006
  1.000000E-004  4.217000E-003  1.662466E-006
  1.000000E-004  4.467000E-003  1.761023E-006
  1.000000E-004  4.732000E-003  1.865493E-006
  1.000000E-004  5.012000E-003  1.975878E-006
  1.000000E-004  5.309000E-003  2.092964E-006
  1.000000E-004  5.623000E-003  2.216751E-006
  1.000000E-004  5.957000E-003  2.348424E-006
  1.000000E-004  6.310000E-003  2.487586E-006
  1.000000E-004  6.683000E-003  2.634634E-006
  1.000000E-004  7.079000E-003  2.790748E-006
  1.000000E-004  7.499000E-003  2.956324E-006
  1.000000E-004  7.943000E-003  3.131361E-006
  1.000000E-004  8.414000E-003  3.317043E-006
  1.000000E-004  8.912000E-003  3.513368E-006
  1.000000E-004  9.441000E-003  3.721915E-006
  1.000000E-004  1.000000E-002  3.942289E-006
  1.000000E-004  1.059000E-002  4.174883E-006
  1.000000E-004  1.122000E-002  4.423246E-006
  1.000000E-004  1.189000E-002  4.687379E-006
  1.000000E-004  1.259000E-002  4.963338E-006
  1.000000E-004  1.333000E-002  5.255067E-006
  1.000000E-004  1.412000E-002  5.566506E-006
  1.000000E-004  1.496000E-002  5.897657E-006
  1.000000E-004  1.585000E-002  6.248519E-006
  1.000000E-004  1.679000E-002  6.619092E-006
  1.000000E-004  1.778000E-002  7.009376E-006
  1.000000E-004  1.884000E-002  7.427256E-006
  1.000000E-004  1.995000E-002  7.864848E-006
  1.000000E-004  2.114000E-002  8.333977E-006
  1.000000E-004  2.239000E-002  8.826759E-006
  1.000000E-004  2.371000E-002  9.347137E-006
  1.000000E-004  2.512000E-002  9.902995E-006
  1.000000E-004  2.661000E-002  1.049039E-005
  1.000000E-004  2.818000E-002  1.110932E-005
  1.000000E-004  2.985000E-002  1.176768E-005
  1.000000E-004  3.162000E-002  1.246546E-005
  1.000000E-004  3.350000E-002  1.320660E-005
  1.000000E-004  3.548000E-002  1.398716E-005
  1.000000E-004  3.758000E-002  1.481503E-005
  1.000000E-004  3.981000E-002  1.569414E-005
  1.000000E-004  4.217000E-002  1.662451E-005
  1.000000E-004  4.467000E-002  1.761007E-005
  1.000000E-004  4.732000E-002  1.865475E-005
  1.000000E-004  5.012000E-002  1.975857E-005
  1.000000E-004  5.309000E-002  2.092941E-005
  1.000000E-004  5.623000E-002  2.216726E-005
  1.000000E-004  5.957000E-002  2.348395E-005
  1.000000E-004  6.310000E-002  2.487554E-005
  1.000000E-004  6.683000E-002  2.634598E-005
  1.000000E-004  7.079000E-002  2.790708E-005
  1.000000E-004  7.499000E-002  2.956279E-005
  1.000000E-004  7.943000E-002  3.131311E-005
  1.000000E-004  8.414000E-002  3.316987E-005
  1.000000E-004  8.912000E-002  3.513305E-005
  1.000000E-004  9.441000E-002  3.721844E-005
  1.000000E-004  1.000000E-001  3.942209E-005
  1.000000E-004  1.059000E-001  4.174794E-005
  1.000000E-004  1.122000E-001  4.423147E-005
  1.000000E-004  1.189000E-001  4.687267E-005
  1.000000E-004  1.259000E-001  4.963213E-005
  1.000000E-004  1.333000E-001  5.254926E-005
  1.000000E-004  1.412000E-001  5.566349E-005
  1.000000E-004  1.496000E-001  5.897480E-005
  1.000000E-004  1.585000E-001  6.248321E-005
  1.000000E-004  1.679000E-001  6.618870E-005
  1.000000E-004  1.778000E-001  7.009127E-005
  1.000000E-004  1.884000E-001  7.426977E-005
  1.000000E-004  1.995000E-001  7.864534E-005
  1.000000E-004  2.113000E-001  8.329682E-005
  1.000000E-004  2.239000E-001  8.826364E-005
  1.000000E-004  2.371000E-001  9.346694E-005
