# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.12000E-002   1.23581E-056   1.23445E-056   1.35891E-059
  9.22600E-002   2.86583E-056   2.86218E-056   3.65281E-059
  9.33200E-002   6.51324E-056   6.50363E-056   9.60792E-059
  9.44100E-002   1.48549E-055   1.48295E-055   2.54054E-058
  9.55000E-002   3.32286E-055   3.31629E-055   6.57226E-058
  9.66100E-002   7.39417E-055   7.37724E-055   1.69255E-057
  9.77200E-002   1.61499E-054   1.61072E-054   4.26608E-057
  9.88600E-002   3.53578E-054   3.52499E-054   1.07887E-056
  1.00000E-001   7.59709E-054   7.57037E-054   2.67139E-056
  1.01200E-001   1.66631E-053   1.65961E-053   6.69953E-056
  1.02300E-001   3.36466E-053   3.34934E-053   1.53229E-055
  1.03500E-001   7.11417E-053   7.07719E-053   3.69860E-055
  1.04700E-001   1.47670E-052   1.46797E-052   8.73783E-055
  1.05900E-001   3.01126E-052   2.99104E-052   2.02197E-054
  1.07200E-001   6.39031E-052   6.34126E-052   4.90556E-054
  1.08400E-001   1.25792E-051   1.24703E-051   1.08946E-053
  1.09700E-001   2.57232E-051   2.54700E-051   2.53150E-053
  1.10900E-001   4.89901E-051   4.84492E-051   5.40907E-053
  1.12200E-001   9.68220E-051   9.56149E-051   1.20712E-052
  1.13500E-001   1.88310E-050   1.85669E-050   2.64126E-052
  1.14800E-001   3.60670E-050   3.54999E-050   5.67120E-052
  1.16100E-001   6.79235E-050   6.67277E-050   1.19584E-051
  1.17500E-001   1.31822E-049   1.29203E-049   2.61905E-051
  1.18900E-001   2.51418E-049   2.45793E-049   5.62579E-051
  1.20200E-001   4.51211E-049   4.39959E-049   1.12523E-050
  1.21600E-001   8.33913E-049   8.10582E-049   2.33307E-050
  1.23000E-001   1.51800E-048   1.47046E-048   4.75442E-050
  1.24400E-001   2.72489E-048   2.62961E-048   9.52892E-050
  1.25900E-001   5.02537E-048   4.82819E-048   1.97178E-049
  1.27400E-001   9.12242E-048   8.72152E-048   4.00902E-049
  1.28800E-001   1.56971E-047   1.49313E-047   7.65714E-049
  1.30300E-001   2.76668E-047   2.61784E-047   1.48833E-048
  1.31800E-001   4.81897E-047   4.52886E-047   2.90113E-048
  1.33300E-001   8.27892E-047   7.72130E-047   5.57619E-048
  1.34900E-001   1.45206E-046   1.34176E-046   1.10299E-047
  1.36500E-001   2.50949E-046   2.29449E-046   2.14991E-047
  1.38000E-001   4.13220E-046   3.73539E-046   3.96813E-047
  1.39600E-001   6.90257E-046   6.14957E-046   7.52992E-047
  1.41200E-001   1.13838E-045   9.97345E-046   1.41039E-046
  1.42900E-001   1.91118E-045   1.64017E-045   2.71005E-046
  1.44500E-001   3.07379E-045   2.57885E-045   4.94945E-046
  1.46200E-001   5.02848E-045   4.10165E-045   9.26832E-046
  1.47900E-001   8.13423E-045   6.42020E-045   1.71403E-045
  1.49600E-001   1.30475E-044   9.91553E-045   3.13201E-045
  1.51400E-001   2.13301E-044   1.54746E-044   5.85556E-045
  1.53100E-001   3.36655E-044   2.32119E-044   1.04536E-044
  1.54900E-001   5.41733E-044   3.50868E-044   1.90865E-044
  1.56700E-001   8.69999E-044   5.25489E-044   3.44510E-044
  1.58500E-001   1.39314E-043   7.78119E-044   6.15019E-044
  1.60300E-001   2.22517E-043   1.13882E-043   1.08635E-043
  1.62200E-001   3.64112E-043   1.68240E-043   1.95872E-043
  1.64100E-001   5.94773E-043   2.45440E-043   3.49333E-043
  1.66000E-001   9.73162E-043   3.56629E-043   6.16533E-043
  1.67900E-001   1.59685E-042   5.19622E-043   1.07723E-042
  1.69800E-001   2.61572E-042   7.51624E-043   1.86410E-042
  1.71800E-001   4.38609E-042   1.10074E-042   3.28535E-042
  1.73800E-001   7.33196E-042   1.60257E-042   5.72939E-042
  1.75800E-001   1.22157E-041   2.32319E-042   9.89248E-042
  1.77800E-001   2.02482E-041   3.32763E-042   1.69206E-041
  1.79900E-001   3.41922E-041   4.74482E-042   2.94473E-041
  1.82000E-001   5.74889E-041   6.70979E-042   5.07791E-041
  1.84100E-001   9.62311E-041   9.42084E-042   8.68103E-041
  1.86200E-001   1.60343E-040   1.31439E-041   1.47199E-040
  1.88400E-001   2.72365E-040   1.85362E-041   2.53828E-040
  1.90500E-001   4.49362E-040   2.56350E-041   4.23727E-040
  1.92800E-001   7.73923E-040   3.74169E-041   7.36506E-040
  1.95000E-001   1.29318E-039   5.37027E-041   1.23948E-039
  1.97200E-001   2.14541E-039   7.68607E-041   2.06855E-039
  1.99500E-001   3.61139E-039   1.11525E-040   3.49987E-039
  2.01800E-001   6.01938E-039   1.61425E-040   5.85795E-039
  2.04200E-001   1.01332E-038   2.36794E-040   9.89636E-039
  2.06500E-001   1.64637E-038   3.40984E-040   1.61227E-038
  2.08900E-001   2.68537E-038   4.86801E-040   2.63669E-038
  2.11300E-001   4.29469E-038   6.88734E-040   4.22581E-038
  2.13800E-001   6.84271E-038   9.80633E-040   6.74464E-038
  2.16300E-001   1.06280E-037   1.38502E-039   1.04895E-037
  2.18800E-001   1.60832E-037   1.94106E-039   1.58891E-037
  2.21300E-001   2.37314E-037   2.69999E-039   2.34615E-037
  2.23900E-001   3.47013E-037   3.77687E-039   3.43236E-037
  2.26500E-001   4.96395E-037   5.24339E-039   4.91151E-037
  2.29100E-001   6.97151E-037   7.22803E-039   6.89923E-037
  2.31700E-001   9.64609E-037   9.89534E-039   9.54713E-037
  2.34400E-001   1.33467E-036   1.36098E-038   1.32106E-036
  2.37100E-001   1.82837E-036   1.85832E-038   1.80979E-036
  2.39900E-001   2.51321E-036   2.54625E-038   2.48774E-036
  2.42700E-001   3.43145E-036   3.46261E-038   3.39682E-036
  2.45500E-001   4.65931E-036   4.67624E-038   4.61255E-036
  2.48300E-001   6.29648E-036   6.27159E-038   6.23376E-036
  2.51200E-001   8.56218E-036   8.44463E-038   8.47773E-036
