# DL07 PAH, cation: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.205399E-005  3.548134E-004  2.354811E-008
  6.205399E-005  3.981072E-004  2.642138E-008
  6.205399E-005  4.466836E-004  2.964525E-008
  6.205399E-005  5.011872E-004  3.326248E-008
  6.205399E-005  5.623413E-004  3.732109E-008
  6.205399E-005  6.309573E-004  4.187492E-008
  6.205399E-005  7.079458E-004  4.698440E-008
  6.205399E-005  7.943282E-004  5.271733E-008
  6.205399E-005  8.912509E-004  5.914979E-008
  6.205399E-005  1.000000E-003  6.636712E-008
  6.205399E-005  1.122018E-003  7.446511E-008
  6.205399E-005  1.258925E-003  8.355119E-008
  6.205399E-005  1.412538E-003  9.374595E-008
  6.205399E-005  1.584893E-003  1.051847E-007
  6.205399E-005  1.778279E-003  1.180191E-007
  6.205399E-005  1.995262E-003  1.324196E-007
  6.205399E-005  2.238721E-003  1.485772E-007
  6.205399E-005  2.511886E-003  1.667063E-007
  6.205399E-005  2.818383E-003  1.870475E-007
  6.205399E-005  3.162278E-003  2.098707E-007
  6.205399E-005  3.548134E-003  2.354788E-007
  6.205399E-005  3.981072E-003  2.642115E-007
  6.205399E-005  4.466836E-003  2.964501E-007
  6.205399E-005  5.011872E-003  3.326225E-007
  6.205399E-005  5.623413E-003  3.732085E-007
  6.205399E-005  6.309573E-003  4.187468E-007
  6.205399E-005  7.079458E-003  4.698416E-007
  6.205399E-005  7.943282E-003  5.271709E-007
  6.205399E-005  8.912509E-003  5.914954E-007
  6.205399E-005  1.000000E-002  6.636687E-007
  6.205399E-005  1.122018E-002  7.446485E-007
  6.205399E-005  1.258925E-002  8.355093E-007
  6.205399E-005  1.412538E-002  9.374568E-007
  6.205399E-005  1.584893E-002  1.051844E-006
  6.205399E-005  1.778279E-002  1.180188E-006
  6.205399E-005  1.995262E-002  1.324192E-006
  6.205399E-005  2.238721E-002  1.485768E-006
  6.205399E-005  2.511886E-002  1.667059E-006
  6.205399E-005  2.818383E-002  1.870471E-006
  6.205399E-005  3.162278E-002  2.098703E-006
  6.205399E-005  3.548134E-002  2.354783E-006
  6.205399E-005  3.981072E-002  2.642109E-006
  6.205399E-005  4.466836E-002  2.964495E-006
  6.205399E-005  5.011872E-002  3.326217E-006
  6.205399E-005  5.623413E-002  3.732076E-006
  6.205399E-005  6.309573E-002  4.187457E-006
  6.205399E-005  7.079458E-002  4.698403E-006
  6.205399E-005  7.943282E-002  5.271693E-006
  6.205399E-005  8.912509E-002  5.914934E-006
  6.205399E-005  1.000000E-001  6.636663E-006
  6.205399E-005  1.122018E-001  7.446455E-006
  6.205399E-005  1.258925E-001  8.355055E-006
  6.205399E-005  1.412538E-001  9.374521E-006
  6.205399E-005  1.584893E-001  1.051838E-005
  6.205399E-005  1.778279E-001  1.180181E-005
  6.205399E-005  1.995262E-001  1.324183E-005
  6.205399E-005  2.238721E-001  1.485757E-005
  6.205399E-005  2.511886E-001  1.667045E-005
  6.205399E-005  2.818383E-001  1.870453E-005
  6.205399E-005  3.162278E-001  2.098680E-005
  6.205399E-005  3.548134E-001  2.354754E-005
  6.205399E-005  3.981072E-001  2.642074E-005
  6.205399E-005  4.466836E-001  2.964450E-005
  6.205399E-005  5.011872E-001  3.326161E-005
  6.205399E-005  5.623413E-001  3.732005E-005
  6.205399E-005  6.309573E-001  4.187368E-005
  6.205399E-005  7.079458E-001  4.698291E-005
  6.205399E-005  7.943282E-001  5.271552E-005
  6.205399E-005  8.912509E-001  5.914757E-005
  6.205399E-005  1.000000E+000  6.636440E-005
  6.205399E-005  1.122018E+000  7.446174E-005
  6.205399E-005  1.258925E+000  8.354702E-005
  6.205399E-005  1.412538E+000  9.374076E-005
  6.205399E-005  1.584893E+000  1.051782E-004
  6.205399E-005  1.778279E+000  1.180110E-004
  6.205399E-005  1.995262E+000  1.324095E-004
