# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  0.00000000E+000
  9.226000E-02  0.00000000E+000
  9.332000E-02  0.00000000E+000
  9.441000E-02  0.00000000E+000
  9.550000E-02  0.00000000E+000
  9.661000E-02  0.00000000E+000
  9.772000E-02  0.00000000E+000
  9.886000E-02  0.00000000E+000
  1.000000E-01  0.00000000E+000
  1.012000E-01  0.00000000E+000
  1.023000E-01  0.00000000E+000
  1.035000E-01  0.00000000E+000
  1.047000E-01  0.00000000E+000
  1.059000E-01  0.00000000E+000
  1.072000E-01  0.00000000E+000
  1.084000E-01  0.00000000E+000
  1.097000E-01  0.00000000E+000
  1.109000E-01  0.00000000E+000
  1.122000E-01  0.00000000E+000
  1.135000E-01  0.00000000E+000
  1.148000E-01  0.00000000E+000
  1.161000E-01  0.00000000E+000
  1.175000E-01  0.00000000E+000
  1.189000E-01  0.00000000E+000
  1.202000E-01  0.00000000E+000
  1.216000E-01  0.00000000E+000
  1.230000E-01  0.00000000E+000
  1.244000E-01  0.00000000E+000
  1.259000E-01  0.00000000E+000
  1.274000E-01  0.00000000E+000
  1.288000E-01  0.00000000E+000
  1.303000E-01  0.00000000E+000
  1.318000E-01  0.00000000E+000
  1.333000E-01  0.00000000E+000
  1.349000E-01  0.00000000E+000
  1.365000E-01  0.00000000E+000
  1.380000E-01  0.00000000E+000
  1.396000E-01  0.00000000E+000
  1.412000E-01  0.00000000E+000
  1.429000E-01  0.00000000E+000
  1.445000E-01  0.00000000E+000
  1.462000E-01  0.00000000E+000
  1.479000E-01  0.00000000E+000
  1.496000E-01  0.00000000E+000
  1.514000E-01  0.00000000E+000
  1.531000E-01  0.00000000E+000
  1.549000E-01  0.00000000E+000
  1.567000E-01  0.00000000E+000
  1.585000E-01  0.00000000E+000
  1.603000E-01  0.00000000E+000
  1.622000E-01  0.00000000E+000
  1.641000E-01  0.00000000E+000
  1.660000E-01  0.00000000E+000
  1.679000E-01  0.00000000E+000
  1.698000E-01  0.00000000E+000
  1.718000E-01  0.00000000E+000
  1.738000E-01  0.00000000E+000
  1.758000E-01  0.00000000E+000
  1.778000E-01  0.00000000E+000
  1.799000E-01  0.00000000E+000
  1.820000E-01  0.00000000E+000
  1.841000E-01  0.00000000E+000
  1.862000E-01  0.00000000E+000
  1.884000E-01  0.00000000E+000
  1.905000E-01  0.00000000E+000
  1.928000E-01  0.00000000E+000
  1.950000E-01  0.00000000E+000
  1.972000E-01  0.00000000E+000
  1.995000E-01  0.00000000E+000
  2.018000E-01  0.00000000E+000
  2.042000E-01  0.00000000E+000
  2.065000E-01  0.00000000E+000
  2.089000E-01  0.00000000E+000
  2.113000E-01  0.00000000E+000
  2.138000E-01  0.00000000E+000
  2.163000E-01  0.00000000E+000
  2.188000E-01  0.00000000E+000
  2.213000E-01  0.00000000E+000
  2.239000E-01  0.00000000E+000
  2.265000E-01  0.00000000E+000
  2.291000E-01  0.00000000E+000
  2.317000E-01  0.00000000E+000
  2.344000E-01  0.00000000E+000
  2.371000E-01  0.00000000E+000
  2.399000E-01  0.00000000E+000
  2.427000E-01  0.00000000E+000
  2.455000E-01  0.00000000E+000
  2.483000E-01  0.00000000E+000
  2.512000E-01  0.00000000E+000
  2.541000E-01  0.00000000E+000
  2.570000E-01  0.00000000E+000
  2.600000E-01  0.00000000E+000
  2.630000E-01  0.00000000E+000
  2.661000E-01  0.00000000E+000
  2.691000E-01  0.00000000E+000
  2.723000E-01  0.00000000E+000
  2.754000E-01  0.00000000E+000
  2.786000E-01  0.00000000E+000
  2.818000E-01  0.00000000E+000
  2.851000E-01  0.00000000E+000
  2.884000E-01  0.00000000E+000
  2.917000E-01  0.00000000E+000
  2.951000E-01  0.00000000E+000
  2.985000E-01  0.00000000E+000
  3.020000E-01  0.00000000E+000
  3.055000E-01  0.00000000E+000
  3.090000E-01  0.00000000E+000
  3.126000E-01  0.00000000E+000
  3.162000E-01  0.00000000E+000
  3.199000E-01  0.00000000E+000
  3.236000E-01  0.00000000E+000
  3.273000E-01  0.00000000E+000
  3.311000E-01  0.00000000E+000
  3.350000E-01  0.00000000E+000
  3.388000E-01  0.00000000E+000
  3.428000E-01  0.00000000E+000
  3.467000E-01  0.00000000E+000
  3.507000E-01  0.00000000E+000
  3.548000E-01  0.00000000E+000
  3.589000E-01  0.00000000E+000
  3.631000E-01  0.00000000E+000
  3.673000E-01  0.00000000E+000
  3.715000E-01  0.00000000E+000
  3.758000E-01  0.00000000E+000
  3.802000E-01  0.00000000E+000
  3.846000E-01  0.00000000E+000
  3.891000E-01  0.00000000E+000
  3.936000E-01  0.00000000E+000
  3.981000E-01  0.00000000E+000
  4.027000E-01  0.00000000E+000
  4.074000E-01  0.00000000E+000
  4.121000E-01  0.00000000E+000
  4.169000E-01  0.00000000E+000
  4.217000E-01  0.00000000E+000
  4.266000E-01  0.00000000E+000
  4.315000E-01  0.00000000E+000
  4.365000E-01  0.00000000E+000
  4.416000E-01  0.00000000E+000
  4.467000E-01  0.00000000E+000
  4.519000E-01  0.00000000E+000
  4.571000E-01  0.00000000E+000
  4.624000E-01  0.00000000E+000
